test_name,category,passed,severity,violations_count,violations,additional_violations,automated_flags,recommendations,details_summary
temporal_boundaries,TEMPORAL,True,PASS,0,,0,,No action required. Test passed successfully.,"Months: N/A, Features validated: 0"
cross_sectional_imputation,IMPUTATION,True,PASS,0,,0,,No action required. Test passed successfully.,Sub-tests: 4/4 passed
target_variable,TARGET,False,CRITICAL,1,Target values found for final date 2026-04-30 00:00:00: 239 observations. This suggests future data leakage.,0,TARGET_VARIABLE_FAILED; TARGET_LEAKAGE_DETECTED; REVIEW_TARGET_CONSTRUCTION; VIOLATIONS_COUNT_1,Target variable leakage detected. Ensure target uses only subsequent month returns. Verify that target calculation does not access future data or same-period information.,"Observations: 16968, Coverage: 100.00%"
ewm_future_data_prevention,EWM_SMOOTHING,True,PASS,0,,0,,No action required. Test passed successfully.,Details: 1 items
fundamental_lag_enhanced,FUNDAMENTAL,True,PASS,0,,0,,No action required. Test passed successfully.,"Tickers tested: N/A, Violations: 0"
fund_val_temporal_boundaries,FUNDAMENTAL,True,PASS,0,,0,,No action required. Test passed successfully.,"Tickers tested: 10, Violations: 0"
quarterly_data_usage,FUNDAMENTAL,True,PASS,0,,0,,No action required. Test passed successfully.,Details: 0 items
performance_anomaly,PERFORMANCE,False,CRITICAL,1,"OOT IC (0.03342) exceeds in-sample IC (0.00471) by 0.02871, above threshold 0.02",0,PERFORMANCE_ANOMALY_FAILED; PERFORMANCE_ANOMALY_DETECTED; POTENTIAL_DATA_LEAKAGE; REQUIRES_URGENT_INVESTIGATION; VIOLATIONS_COUNT_1,"CRITICAL: OOT performance exceeds in-sample performance, indicating potential data leakage. Actions: (1) Review all feature engineering for future data access, (2) Validate target variable construction, (3) Check scaler fitting and preprocessing steps, (4) Verify walk-forward validation windows.","In-sample IC: 0.00471, OOT IC: 0.03342, Diff: 0.02871"
=== OVERALL SUMMARY ===,SUMMARY,False,CRITICAL,2,Total: 2 failed tests,0,TARGET_VARIABLE_FAILED; PERFORMANCE_ANOMALY_DETECTED; VIOLATIONS_COUNT_1; PERFORMANCE_ANOMALY_FAILED; REQUIRES_URGENT_INVESTIGATION; POTENTIAL_DATA_LEAKAGE; TARGET_LEAKAGE_DETECTED; REVIEW_TARGET_CONSTRUCTION,"2 test(s) failed with 2 critical violation(s). URGENT: Performance anomaly detected - OOT performance significantly exceeds in-sample. This is a strong indicator of data leakage. Prioritize investigation. Recommended actions: (1) Address all CRITICAL severity issues first, (2) Review feature engineering and target construction, (3) Validate temporal boundaries across all data sources, (4) Re-run audit after fixes to confirm resolution.",Tests: 6/8 passed
=== PERFORMANCE ANOMALY ALERT ===,ANOMALY,False,CRITICAL,1,OOT IC (0.03342) exceeds in-sample IC (0.00471) by 0.02871,0,PERFORMANCE_ANOMALY; POTENTIAL_LEAKAGE; REQUIRES_INVESTIGATION,"URGENT: Investigate data leakage sources. Review feature engineering, target construction, and temporal boundaries. Consider re-validating all leakage checks.","Threshold: 0.02, Difference: 0.02871"
=== FUNDAMENTAL LAG VALIDATION ===,FUNDAMENTAL,True,INFO,0,Status: COMPLIANT,0,FUNDAMENTAL_LAG_COMPLIANT,Fundamental lag enforcement is working correctly.,Tests: 3/3 passed
